blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock,label,label_name
0.16095483,0.0009904528,0.1358961,0.0117250495,0.041976146,0.017268842,0.0035551686,0.019934185,0.22681652,0.3808827,0,blues
0.32460648,0.0032112473,0.051993802,0.01216417,0.037986223,0.020795176,0.003117462,0.021462794,0.3824293,0.1422333,0,blues
0.10980309,0.000960205,0.010469132,0.010147184,0.02543196,0.0041484577,0.00046622788,0.006101799,0.78750104,0.044970937,0,blues
0.27437305,0.00012733061,0.024804471,0.008172516,0.029471986,0.0032610581,0.00077325845,0.008590298,0.53946763,0.11095844,0,blues
0.45715302,0.0003336579,0.14454202,0.029767664,0.011444324,0.0038715666,0.0013280953,0.008803837,0.17777865,0.16497715,0,blues
0.403577,0.0005797271,0.15557174,0.03351277,0.041023746,0.0042538936,0.00067034987,0.018623684,0.23954606,0.10264093,0,blues
0.52422804,0.00022955146,0.065902755,0.026320077,0.022524975,0.0014911857,0.00041657136,0.009679668,0.23426987,0.11493734,0,blues
0.631915,0.00090962043,0.05743651,0.007003565,0.030477041,0.025310213,0.0009092167,0.008281347,0.15726018,0.0804973,0,blues
0.3198457,0.003718193,0.44835216,0.02412691,0.0065054684,0.0024618448,0.00085602805,0.008055557,0.090987705,0.09509042,0,blues
0.31656665,0.002475443,0.20966692,0.039170798,0.020840626,0.0042783613,0.00046964193,0.010123764,0.28021848,0.11618934,0,blues
0.093292706,0.016172709,0.053966764,0.008576652,0.21903685,0.16450566,0.00075828354,0.0030915895,0.21459755,0.22600116,0,blues
0.11142133,0.008919362,0.04048293,0.012805777,0.15376966,0.19509697,0.002198337,0.004176958,0.2910741,0.18005459,0,blues
0.30344826,0.004612713,0.030238431,0.007322707,0.0149623575,0.31792727,0.00043334803,0.00061358046,0.23824164,0.082199596,0,blues
0.13966727,0.026639825,0.08508869,0.008109803,0.12594442,0.25295737,0.0026583464,0.0027235798,0.136632,0.21957871,0,blues
0.16900335,0.01036138,0.042586684,0.010358792,0.102364905,0.055663884,0.009215682,0.003228767,0.07961692,0.51759964,0,blues
0.09653095,0.016825406,0.13943616,0.10852831,0.020296223,0.020688996,0.01069507,0.007950154,0.11001053,0.46903813,0,blues
0.18436702,0.02384351,0.32087725,0.023965737,0.010745202,0.055073798,0.0013457633,0.0023636548,0.20042068,0.17699732,0,blues
0.13835263,0.01604271,0.09754358,0.016321342,0.13466835,0.08444082,0.009365516,0.031875502,0.21297833,0.2584112,0,blues
0.1564065,0.009606261,0.065011285,0.023872217,0.05281949,0.067524254,0.00911447,0.025931148,0.2916385,0.2980759,0,blues
0.13912028,0.029517895,0.42251766,0.009977852,0.004315534,0.044686873,0.0024760035,0.0058318605,0.036048476,0.30550766,0,blues
0.45846093,0.02939833,0.044037394,0.005624986,0.10416575,0.08065612,0.04028869,0.027806794,0.08203378,0.12752715,0,blues
0.27805293,0.018062556,0.049590286,0.015364619,0.09088446,0.01547815,0.026757736,0.032524124,0.28550786,0.18777733,0,blues
0.50906354,0.002699563,0.024896143,0.006414768,0.026542768,0.005824404,0.0021409176,0.009894161,0.34684813,0.06567559,0,blues
0.5996272,0.007723343,0.03346754,0.008858941,0.019785715,0.008834137,0.0008508683,0.0048733796,0.2845685,0.031410452,0,blues
0.6300439,0.012705396,0.09811227,0.00920579,0.034237668,0.018859526,0.0010953733,0.010966454,0.1410081,0.043765437,0,blues
0.58374137,0.0076784533,0.06337735,0.005974035,0.028205013,0.024385715,0.0004569328,0.006178775,0.25151742,0.028484914,0,blues
0.30848482,0.0014498429,0.07061049,0.006593986,0.030197546,0.006713885,0.0010528124,0.0063380613,0.52250403,0.04605453,0,blues
0.34857866,0.061010644,0.27417895,0.0028862928,0.10914914,0.101812325,0.00096903095,0.0038420192,0.059033338,0.038539678,0,blues
0.14545706,0.02993043,0.21596864,0.012439757,0.18591878,0.12597238,0.0023442637,0.020902634,0.19099216,0.0700739,0,blues
0.30537942,0.03390111,0.19775455,0.013071623,0.07693236,0.21606551,0.0023428143,0.015275693,0.04479277,0.09448415,0,blues
0.030367343,0.15325518,0.3000066,0.001406692,0.00791009,0.4775864,0.0057639396,0.0042495965,0.0016907791,0.017763412,0,blues
0.04330804,0.19133738,0.33615816,0.0017247658,0.012810717,0.38349813,0.002988916,0.0044902093,0.005111153,0.018572474,0,blues
0.011939819,0.08017694,0.08297572,0.00017348734,0.0018571641,0.82031256,0.00049983105,0.0002426846,0.0004834278,0.0013383823,0,blues
0.01595587,0.09649842,0.16122971,0.0009268616,0.005896949,0.70556957,0.0031418933,0.0018708126,0.0014507939,0.007459047,0,blues
0.028933395,0.09686887,0.63502705,0.0018055559,0.0086259255,0.20349245,0.0035544655,0.0029689057,0.0025546588,0.01616873,0,blues
0.064274244,0.2343046,0.13749,0.0034901032,0.03167435,0.42746246,0.0073020714,0.011474091,0.010350325,0.072177656,0,blues
0.054179963,0.21170807,0.3184656,0.0035269978,0.027489513,0.29876402,0.0031221597,0.019507516,0.021454213,0.04178194,0,blues
0.015715538,0.37621143,0.32843667,0.00202516,0.0066492613,0.23454909,0.0010137013,0.007628326,0.004196457,0.023574378,0,blues
0.10917135,0.2039716,0.16358659,0.001796759,0.014723113,0.41597322,0.012557764,0.020007819,0.0053733224,0.052838486,0,blues
0.02560344,0.4699115,0.31698146,0.001778711,0.0043810275,0.14567558,0.0017353313,0.0054615224,0.0024872152,0.025984254,0,blues
